Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0805_2012Metric,46.030000,23.180000,-90.000000,top
C2,470uF,CP_Elec_10x10.5,61.300000,16.632500,-90.000000,top
C3,100uF,CP_Elec_6.3x7.7,41.910000,16.720000,-90.000000,top
D1,LED Blue,LED_0603_1608Metric,67.950000,16.400000,90.000000,top
D2,SS54,D_SMA,22.600000,53.150000,180.000000,top
D3,SS54,D_SMA,11.550000,30.350000,-90.000000,top
D4,SS54,D_SMA,13.750000,53.150000,180.000000,top
D5,SS54,D_SMA,11.500000,46.100000,-90.000000,top
D6,SS54,D_SMA,11.550000,38.200000,-90.000000,top
D7,SS54,D_SMA,11.550000,22.400000,-90.000000,top
D8,SS54,D_SMA,18.100000,12.150000,0.000000,top
D9,SS54,D_SMA,25.400000,11.050000,0.000000,top
D10,SS54,D_SMA,11.550000,14.350000,-90.000000,top
D11,SS54,D_SMA,47.280000,17.820000,-90.000000,top
IC1,CD4051BM96,SOIC127P600X175-16N,69.000000,40.800000,-90.000000,top
IC2,CD4051BM96,SOIC127P600X175-16N,36.400000,40.800000,90.000000,top
IC3,MC34063ADR2G,SOIC127P600X175-8N,50.850000,24.150000,0.000000,top
J1,KH-DC-050-2.0STM,CUI_PJ-002BH-SMT-TR,44.157500,9.200000,90.000000,top
J2,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",27.450000,5.000000,0.000000,top
J3,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",37.950000,59.500000,180.000000,top
J4,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",22.950000,59.500000,180.000000,top
J10,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",67.550000,59.500000,180.000000,top
J11,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",79.050000,59.500000,180.000000,top
J12,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",85.550000,46.000000,90.000000,top
J13,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",85.550000,34.500000,90.000000,top
J14,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",85.550000,23.000000,90.000000,top
J15,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",85.550000,11.500000,90.000000,top
J16,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",72.100000,5.000000,0.000000,top
J17,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",60.600000,5.000000,0.000000,top
J20,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",14.950000,59.500000,180.000000,top
J21,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",5.000000,50.000000,-90.000000,top
J22,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",5.000000,42.000000,-90.000000,top
J23,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",5.000000,34.000000,-90.000000,top
J24,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",5.000000,26.000000,-90.000000,top
J25,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",5.000000,18.000000,-90.000000,top
J26,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",11.450000,5.000000,0.000000,top
J27,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",19.450000,5.000000,0.000000,top
L1,220uH,L_1210_3225Metric,50.670000,17.760000,90.000000,top
Q1,AO3400A,SOT-23,19.500000,49.400000,90.000000,top
Q2,AO3400A,SOT-23,15.250000,45.050000,180.000000,top
Q3,AO3400A,SOT-23,15.250000,40.000000,180.000000,top
Q4,AO3400A,SOT-23,15.250000,32.150000,180.000000,top
Q5,AO3400A,SOT-23,15.250000,24.200000,180.000000,top
Q6,AO3400A,SOT-23,15.250000,19.050000,180.000000,top
Q7,AO3400A,SOT-23,17.050000,15.650000,180.000000,top
Q8,AO3400A,SOT-23,23.600000,14.750000,-90.000000,top
Q9,AO3400A,SOT-23,24.550000,49.400000,90.000000,top
R1,1M,R_0805_2012Metric,43.800000,59.400000,-90.000000,top
R2,100,R_0805_2012Metric,67.950000,19.950000,90.000000,top
R3,100,R_0805_2012Metric,41.750000,50.300000,0.000000,top
R4,1M,R_0805_2012Metric,41.750000,48.300000,0.000000,top
R5,3.6k,R_0805_2012Metric,57.900000,23.250000,0.000000,top
R6,0.33,R_0805_2012Metric,57.900000,25.250000,0.000000,top
R7,1.2k,R_0805_2012Metric,54.590000,19.560000,90.000000,top
R10,100,R_0805_2012Metric,21.200000,40.950000,180.000000,top
R11,100,R_0805_2012Metric,21.200000,38.950000,0.000000,top
R12,100,R_0805_2012Metric,21.200000,36.950000,0.000000,top
R13,100,R_0805_2012Metric,21.200000,34.950000,180.000000,top
R14,100,R_0805_2012Metric,21.200000,32.950000,0.000000,top
R15,100,R_0805_2012Metric,21.200000,30.950000,0.000000,top
R16,100,R_0805_2012Metric,21.200000,28.950000,0.000000,top
R17,100,R_0805_2012Metric,21.200000,26.950000,0.000000,top
R20,1M,R_0805_2012Metric,36.900000,48.350000,-90.000000,top
R21,1M,R_0805_2012Metric,34.550000,48.350000,-90.000000,top
R22,1M,R_0805_2012Metric,32.550000,48.350000,-90.000000,top
R23,1M,R_0805_2012Metric,29.150000,42.200000,90.000000,top
R24,1M,R_0805_2012Metric,29.150000,38.750000,-90.000000,top
R25,1M,R_0805_2012Metric,32.850000,33.950000,90.000000,top
R26,1M,R_0805_2012Metric,34.800000,33.950000,90.000000,top
R27,1M,R_0805_2012Metric,37.150000,33.950000,90.000000,top
REF**,PinHeader_1x02_P2.54mm_Vertical,PinHeader_1x02_P2.54mm_Vertical,29.000000,19.900000,-90.000000,top
REF**,PinHeader_1x03_P2.54mm_Vertical,PinHeader_1x03_P2.54mm_Vertical,73.025000,24.000000,-90.000000,top
SW1,SW_MEC_5E,SW_SPST_Omron_B3FS-100xP_3D,51.700000,60.150000,0.000000,top
U1,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D,53.850000,41.122500,-90.000000,top
