Comment,Designator,Footprint,LCSC
"470pF","C1","Capacitor_SMD:C_0805_2012Metric","C1743"
"470uF","C2","Capacitor_SMD:CP_Elec_10x10.5","C129479"
"100uF","C3","Capacitor_SMD:CP_Elec_6.3x7.7","C3001220"
"LED Blue","D1","LED_SMD:LED_0603_1608Metric","C72041"
"SS54","D2,D3,D4,D5,D6,D7,D8,D9,D10,D11","Diode_SMD:D_SMA","C22452"
"CD4051BM96","IC1,IC2","SamacSys_Parts:SOIC127P600X175-16N","C21379"
"MC34063ADR2G","IC3","SamacSys_Parts:SOIC127P600X175-8N","C32078"
"KH-DC-050-2.0STM","J1","PersonalLibrary:CUI_PJ-002BH-SMT-TR","C2847201"
"Screw_Terminal_01x03","J10,J11,J12,J13,J14,J15,J16,J17","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","C474931"
"Screw_Terminal_01x04","J2,J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","C2757925"
"Screw_Terminal_01x02","J4,J20,J21,J22,J23,J24,J25,J26,J27","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","C474930"
"220uH","L1","Inductor_SMD:L_1210_3225Metric","C394104"
"AO3400A","Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","Package_TO_SOT_SMD:SOT-23","C20917"
"1M","R1,R4,R20,R21,R22,R23,R24,R25,R26,R27","Resistor_SMD:R_0805_2012Metric","C17514"
"100","R2,R3,R10,R11,R12,R13,R14,R15,R16,R17","Resistor_SMD:R_0805_2012Metric","C17408"
"3.6k","R5","Resistor_SMD:R_0805_2012Metric","C18359"
"0.33","R6","Resistor_SMD:R_0805_2012Metric","C491232"
"1.2k","R7","Resistor_SMD:R_0805_2012Metric","C17379"
"SW_MEC_5E","SW1","PersonalLibrary:SW_SPST_Omron_B3FS-100xP_3D","C231324"
